"WatershedGroupName","OWF_ID","GNIS_Name_CSV","GNIS_Name_Flag","GNIS_ID_CSV","GNIS_ID_Flag","HUC8_CSV","HUC8_Flag","IBCC_Basin_CSV","IBCC_Basin_Flag","Website","Website_Flag","Comment"
Alamosa River Watershed Restoration Foundation,AlamosaRvrWFdn,Alamosa River,G,00190624,G,13010002,G,Rio Grande,G,,M,
Alamosa Riverkeeper,AlamosaRiverkeeper,Alamosa River,G,00190624,G,,x,Rio Grande,G,,M,
Animas River Stakeholders Group,AnimasRvrStakeholdersGrp,Animas River,G,00900284,G,14080104,G,Southwest,G,http://www.animasriverstakeholdersgroup.org,,
Animas Watershed Partnership,AnimasWP,Animas River,G,00900284,G,14080104,G,Southwest,G,http://animaswatershedpartnership.org,,
Arkansas River Coalition,ArkansasRvrCltn,Arkansas River,G,00078956,G,,x,Arkansas,G,http://www.arkrivercoalition.org,,
Barr Lake and Milton Reservoir Watershed Association,BarrLakeMiltonReservoirWA,South Platte River,G,00201759,G,10190003,G,Metro,G,http://www.barr-milton.org,,
Bear Creek Watershed Association,BearCrkWA,Bear Creek,G,00182308,G,10190002,G,Metro,G,http://www.bearcreekwatershed.org,,
Big Dry Creek Watershed Association,BigDryCrkWA,Big Dry Creek,G,00181264,G,10190003,G,"Metro, South Platte",G,http://www.bigdrycreek.org,,
Big Thompson Watershed Coalition,BigThompsonWC,Big Thompson River,G,00205019,G,10190006,G,South Platte,G,http://www.bigthompson.co,,
Big Thompson Watershed Forum,BigThompsonWFor,Big Thompson River,G,00205019,G,10190006,G,South Platte,G,http://www.btwatershed.org,,
Blue River Watershed Group,BlueRvrWG,Blue River,G,00173194,G,14010002,G,Colorado,G,http://www.blueriverwatershed.org,,
Boulder Creek Watershed Initiative,BoulderCrkWI,Boulder Creek,G,00178354,G,10190005,G,South Platte,G,http://bcn.boulder.co.us/basin/bcwi,,
Chatfield Watershed Authority,ChatfieldWAuth,"Plum Creek, South Platte River",G,"00183363, 00201759",G,10190003,G,Metro,G,http://www.chatfieldwatershedauthority.org,,
Cherry Creek Stewardship Partners,CherryCrkStewardshipPartners,Cherry Creek,G,00181657,G,10190003,G,Metro,G,http://www.cherry-creek.org,,
Clear Creek Watershed Foundation,ClearCrkWFdn,Clear Creek,G,00181805,G,10190004,G,South Platte,G,http://www.clearcreekwater.org,,
Coal Creek Canyon Watershed Partnership,CoalCrkCanyonWP,Coal Creek,G,00181118,G,10190005,G,South Platte,G,http://www.cccwp.org/watershed,,
Coal Creek Watershed Coalition,CoalCrkWC,"Coal Creek, Slate River",G,"00186682, 00186481",G,14020001,G,Gunnison,G,http://www.coalcreek.org,,
Coalition for the Poudre River Watershed,CPRW,Cache la Poudre River,G,00205018,G,10190007,G,South Platte,G,http://www.poudrewatershed.org,,
Coalition for the Upper South Platte,CUSP,"Middle Fork South Platte River, South Fork South Platte River, North Fork South Platte River, South Platte River",G,"00183803, 00201759, 00183164, 00183790",G,,G,South Platte,G,http://www.uppersouthplatte.org,,
Culebra Range Community Coalition,CulebraRangeCommunityCltn,,x,,x,,x,Arkansas,G,,M,
Dolores River Dialogue,DoloresRvrDialogue,Dolores River,G,01440517,G,14030004,G,Southwest,G,http://ocs.fortlewis.edu/drd,,
Dolores River Source Water Protection Group,DoloresRvrSourceWaterProtectionGrp,Dolores River,G,01440517,G,,x,Southwest,G,,M,
Eagle River Watershed Council,EagleRvrWCoun,Eagle River,G,,x,14010003,G,Colorado,G,http://www.erwc.org,,
East Fork Dolores (Town of Rico),Rico,Dolores River,G,01440517,G,14030002,G,Southwest,G,http://www.ricocolorado.org,,
Estes Valley Watershed Coalition,EstesVlyWC,"Big Thompson River, Black Canyon Creek, Fall River, Fish Creek",G,"00205019, 00177566, 00177536, 00177920",G,10190006,G,South Platte,G,http://www.evwatershed.org,,
Fountain Creek Restoration Project,FountainCrkResProj,Fountain Creek,G,00193719,G,,x,Arkansas,G,http://www.restorefountaincreek.org,,
Fountain Creek Watershed,FountainCrkW,Fountain Creek,G,00193719,G,11020003,G,Arkansas,G,http://www.fountain-crk.org,,
Fourmile Watershed Coalition,FourmileWC,Fourmile Creek,G,00178470,G,10190005,G,South Platte,G,http://fourmilewatershed.org,,
Friends of the Fraser,FOTFraser,Fraser River,G,00178386,G,,x,Colorado,G,http://www.coheadwaters.org,,
Friends of the Lower Blue River,FOTLowerBlueRvr,Blue River,G,00173194,G,,x,Colorado,G,http://www.folbr.org,,
Friends of the Poudre,FOTPoudre,Cache la Poudre River,G,00205018,G,10190007,G,South Platte,G,http://friendsofthepoudre.com/,,
Friends of the River Uncompahgre,FOTRvrUncompahgre,Uncompahgre River,G,,x,,x,Gunnison,G,,M,
Friends of the Yampa,FOTYampa,Yampa River,G,,x,,x,Yampa,G,http://www.friendsoftheyampa.com,,
Friends of Wolf Creek - Rocky Mountain Wild,FOWolfCreek,,x,,x,,x,Colorado,G,http://www.friendsofwolfcreek.org,,
Gore Creek Restoration Committee,GoreCrkResCom,Gore Creek,G,,x,,x,Colorado,G,http://www.vailgov.com,,
Grand County Water Information Network,GCWIN,,,,x,,x,Colorado,G,http://www.gcwin.org,,
Greater Arkansas River Nature Association,GARNA,Arkansas River,G,00078956,G,,x,Arkansas,G,http://www.garna.org,,
Groundwork Denver,GroundworkDenver,Bear Creek,G,00182308,G,10190002,G,Metro,G,http://www.groundworkcolorado.org,,
Gunnison Basin and Grand Valley Selenium Task Force,GunnisonBasinGrandVlySeleniumTF,Lower Gunnison River?,x,,x,14020005,G,Gunnison,G,http://www.seleniumtaskforce.org,,
High Country Citizens' Alliance,HCCA,,x,,x,,x,Gunnison,G,http://www.hccaonline.org,,Possibly now High Country Conservation Advocates
James Creek Watershed Initiative,JamesCrkWI,James Creek,G,00178555,G,10190005,G,South Platte,G,http://jamescreekwatershed.org,,
Keep It Clean Partnership,KeepItCleanPartnership,"Boulder Creek, Sain Vrain Creek",G,"00178354, 00205012",G,10190005,G,South Platte,G,http://www.keepitcleanpartnership.org,,
Kerber Creek Restoration Project,KerberCrkResProj,Kerber Creek,G,00191697,G,13010003,G,Rio Grande,G,http://www.kerbercreek.org,,
Lake Fork Valley Conservancy,LakeForkVlyConserv,"Lake Fork Gunnison River, Cebolla Creek",G,,x,14020005,G,Gunnison,G,http://www.lfvc.org,,
Lake Fork Watershed Working Group,LakeForkWG,Lake Fork Arkansas River?,x,,x,11020002,G,"Arkansas, Gunnison",G,http://www.coloradomtn.edu/LFWWG,,
Land Trust of the Upper Arkansas,LTUpperArkansas,,x,,x,,x,Arkansas,G,http://www.ltua.org,,
Lefthand Watershed Oversight Group,LWOG,Lefthand Creek,G,00178283,G,10190005,G,South Platte,G,http://lwog.org,,
Little Thompson Watershed Restoration Coalition,LittleThompsonWC,Little Thompson River,G,00177961,G,10190005,G,South Platte,G,http://www.ltwrc.org,,
Middle Colorado Watershed Council,MiddleColoradoWCoun,"Colorado River, Rifle Creek?",x,00045730,G,14010006,G,Colorado,G,http://www.midcowatershed.org,,
Middle South Platte River Alliance,MiddleSouthPlatteRvrAll,South Platte River,G,00201759,G,10190003,G,South Platte,G,http://www.middlesouthplatte.org,,
Our Future Summit,OurFutureSummit,,x,,x,,x,Colorado,G,http://www.ourfuturesummit.org,,
Owl Mountain Partnership,OwlMtnPartnership,North Platte River?,x,,x,,G,North Platte,G,http://www.owlmountainpartnership.org,,
Pine River Watershed Group,PineRvrWG,Pine River,G,,x,14080101,G,Southwest,G,http://www.sanjuanrcd.org,,
Purgatoire Watershed Partnership,PurgatoireWP,Purgatoire River,G,00201784,G,11020010,G,Arkansas,G,http://www.purgatoirewatershed.org,,
